idMiasta;nazwa;idRegionu_FK
1;Wroc³aw;1
2;Legnica;1
3;Jelenia Góra;1
4;Wa³brzych;1
5;Zgorzelec;1
6;Bydgoszcz;2
7;Toruñ;2
8;W³oc³awek;2
9;Grudzi¹dz;2
10;Lublin;3
11;Bia³a Podlaska;3
12;Che³m;3
13;Zamoœæ;3
14;Gorzów Wielkopolski;4
15;Zielona Góra;4
16;S³ubice;4
17;£ódŸ;5
18;Piotrków Trybunalski;5
19;Skierniewice;5
20;Zgierz;5
21;Kraków;6
22;Tarnów;6
23;Nowy S¹cz;6
24;Oœwiêcim;6
25;Warszawa;7
26;Ostro³êka;7
27;P³ock;7
28;Radom;7
29;Siedlce;7
30;Piaseczno;7
31;Grójec;7
32;Szyd³owiec;7
33;Opole;8
34;Nysa;8
35;Namys³ów;8
36;Rzeszów;9
37;Krosno;9
38;Przemyœl;9
39;Tarnobrzeg;9
40;Mielec;9
41;Krosno;9
42;Bia³ystok;10
43;£om¿a;10
44;Suwa³ki;10
45;Augustów;10
46;Hajnówka;10
47;Sejny;10
48;Siemiatycze;10
49;Gdañsk;11
50;Gdynia;11
51;S³upsk;11
52;Sopot;11
53;Pruszcz Gdañski;11
54;Kartuzy;11
55;Koœcierzyna;11
56;Wejcherowo;11
57;Tczew;11
58;Katowice;12
59;Bielsko-Bia³a;12
60;Bytom;12
61;Chorzów;12
62;Czêstochowa;12
63;D¹browa Górnicza;12
64;Zabrze;12
65;Tychy;12
66;Rybnik;12
67;Kielce;13
68;Skar¿ysko-Kamienna;13
69;Suchedniów;13
70;Sandomierz;13
71;Jêdrzejów;13
72;Koñskie;13
73;Jêdrzejów;13
74;Busko-Zdrój;13
75;Ostrowiec Œwiêtokrzyski;13
76;Olsztyn;14
77;Elbl¹g;14
78;E³k;14
79;Gi¿ycko;14
80;I³awa;14
81;Poznañ;15
82;Kalisz;15
83;Konin;15
84;Leszno;15
85;Pi³a;15
86;Szczecin;16
87;Stargard;16
88;Police;16
89;Ko³obrzeg;16
90;Koszalin;16
91;Rogowo;16
92;Œwinoujœcie;16
93;Choszczno;16
94;Lipsk;17
95;Drezno;17
96;Chemnitz;17
97;Berlin;18
98;Poczdam;19
99;Frankfurt nad Odr¹;19
100;Brandenburg;19
101;Rostock;20
102;Schwerin;20
103;Neubrandenburg;20
104;Waren;20
105;Hamburg;21
106;Kilonia;22
107;Lubeka;22
108;Flensburg;22
109;Monachium;23
110;Rosenheim;23
111;Augsburg;23
112;Ansbach;23
113;Oslo;24
114;Arendal;25
115;Froland;25
116;Lillesand;25
117;Siljan;26
118;Skien;26
119;Tokke;26
120;Vinje;26
121;Seljord;26
122;Tonsberg;27
123;Horten;27
124;Bergen;28
125;Odda;28
126;Voss;28
127;Lillehammer;29
128;Gjovik;29
129;Hamar;30
130;Malmo;31
131;Helsingborg;31
132;Lund;31
133;Landskrona;31
134;Sztokholm ;32
135;Uppsala;33
136;Chersoñ;34
137;Rajskie;34
138;Lwów;35
139;Drohobycz;35
140;¯ytomierz;36
